survey_date,province,lat,lon,rice_ecosystem,rice_stage,rice_variety,rat_damage_%,GA_snail_ea,dead_heart_%,rice_gall_midge_%,white_head_%,rice_bug_%,rice_thrip_%,whorl_maggot_%,rice_hispa_%,leaf_folder,bph_pertiller,wbph_pertiller,zigzag_pertiller,green_leafhopper_pertiller,white_whitefily_pertiller,black_bug_pertiller,bacterial_blight_%,bacterial_leaf_streak_%,brown_spot_%,leaf_blast_%,red_stripe_%,narrow_brown_spot_%,bakanae_%,dirty_panicle_%,false_smut_%,neck_blast_%,sheath_blight_%,sheath_rot_%,hopper_burn_%,gressy_stun_virus_%,ragged_stun_virus_%,orange_leaf_%,weed_infestration_%,dominant_weed_type,dominant_weed_species,parsed_date,lat_clean,lon_clean,grid_cell,gdd_cum_7d,rain_cum_7d,rain_max_7d,rad_cum_7d,dtr_mean_7d,dtr_std_7d,rh_mean_7d,cdd_7d,gdd_cum_14d,rain_cum_14d,rain_max_14d,rad_cum_14d,dtr_mean_14d,dtr_std_14d,rh_mean_14d,cdd_14d,gdd_cum_30d,rain_cum_30d,rain_max_30d,rad_cum_30d,dtr_mean_30d,dtr_std_30d,rh_mean_30d,cdd_30d,gdd_cum_60d,rain_cum_60d,rain_max_60d,rad_cum_60d,dtr_mean_60d,dtr_std_60d,rh_mean_60d,cdd_60d
2023-02-24,สงขลา,7.819531999999999,100.262642,นาชลประทาน,ตั้งท้อง,กข79,0.0,0,0.0,0.0,0.0,0.0,0.0,1.471,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.412,18.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,2023-02-24,7.819531999999999,100.262642,"(8.0, 100.5)",118.45,9.57,3.3,130.0,1.29,0.36,82.83,4,239.29,10.25,3.3,275.83,1.47,0.33,81.83,11,509.5,73.66,17.0,524.22,1.43,0.32,81.73,18,1018.73,287.31,48.68,998.92,1.46,0.35,80.81,30
2023-02-24,สงขลา,7.819623,100.262974,นาชลประทาน,ตั้งท้อง,กข79,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7249999999999999,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80.0,หญ้า,หญ้าดอกขาว,2023-02-24,7.819623,100.262974,"(8.0, 100.5)",118.45,9.57,3.3,130.0,1.29,0.36,82.83,4,239.29,10.25,3.3,275.83,1.47,0.33,81.83,11,509.5,73.66,17.0,524.22,1.43,0.32,81.73,18,1018.73,287.31,48.68,998.92,1.46,0.35,80.81,30
2023-12-18,นครราชสีมา,15.1592,102.3651,นาชลประทาน,ระยะกล้า,กข79,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,2023-12-18,15.1592,102.3651,"(15.0, 102.5)",110.39,0.09,0.07,123.18,10.93,0.79,75.76,7,221.11,0.52,0.21,248.53,10.3,1.1,76.9,14,443.03,3.86,1.39,532.6,9.58,1.3,80.84,29,918.22,162.72,39.87,1049.45,8.27,2.0,84.14,45
2023-01-20,นครพนม,17.0012,104.5871,นาชลประทาน,ระยะกล้า,แม่โจ้2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,15.0,กก,,2023-01-20,17.0012,104.5871,"(17.0, 104.5)",71.16,0.32,0.16,138.61,13.82,1.6,73.22,7,152.79,12.65,8.73,219.97,11.83,2.65,76.41,12,298.01,13.56,8.73,483.6,11.79,1.98,77.7,28,641.99,56.71,11.09,985.08,10.64,2.56,80.3,52
2023-02-17,สกลนคร,17.620974,103.99764,นาชลประทาน,ระยะกล้า,หยดน้ำ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,2023-02-17,17.620974,103.99764,"(17.5, 104.0)",106.56,0.27,0.1,130.37,13.46,1.66,60.6,7,225.07,5.74,2.38,230.18,11.52,2.61,66.49,12,367.18,5.96,2.38,549.27,13.35,2.99,67.4,28,659.12,19.66,8.05,1029.38,12.43,2.69,71.86,56
2023-01-20,สกลนคร,17.35,103.782,นาชลประทาน,ระยะกล้า,CP888,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,2023-01-20,17.35,103.782,"(17.5, 104.0)",67.97,0.2,0.09,138.61,13.89,1.43,71.93,7,149.52,12.95,8.05,219.97,11.91,2.78,75.03,12,291.16,13.65,8.05,483.6,11.75,2.15,75.97,28,626.76,50.86,10.86,985.08,10.66,2.58,78.47,52
2023-02-03,หนองคาย,18.1628,103.1591,นาชลประทาน,ระยะกล้า,กข22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,2023-02-03,18.1628,103.1591,"(18.0, 103.0)",60.81,0.19,0.19,132.82,15.01,2.26,65.9,7,119.32,0.2,0.19,270.57,14.62,2.15,67.79,14,281.88,5.74,3.59,514.41,13.0,2.82,72.18,28,538.27,5.9,3.59,988.21,12.01,2.54,74.3,58
2023-02-17,สกลนคร,17.276991,103.972203,นาชลประทาน,ระยะกล้า,อีลาง,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,2023-02-17,17.276991,103.972203,"(17.5, 104.0)",106.56,0.27,0.1,130.37,13.46,1.66,60.6,7,225.07,5.74,2.38,230.18,11.52,2.61,66.49,12,367.18,5.96,2.38,549.27,13.35,2.99,67.4,28,659.12,19.66,8.05,1029.38,12.43,2.69,71.86,56
2023-02-03,หนองคาย,18.1861,103.1565,นาชลประทาน,ระยะกล้า,กข22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,2023-02-03,18.1861,103.1565,"(18.0, 103.0)",60.81,0.19,0.19,132.82,15.01,2.26,65.9,7,119.32,0.2,0.19,270.57,14.62,2.15,67.79,14,281.88,5.74,3.59,514.41,13.0,2.82,72.18,28,538.27,5.9,3.59,988.21,12.01,2.54,74.3,58
2023-02-17,สกลนคร,17.620212,103.983836,นาชลประทาน,ระยะกล้า,กข22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.6667,หญ้า,,2023-02-17,17.620212,103.983836,"(17.5, 104.0)",106.56,0.27,0.1,130.37,13.46,1.66,60.6,7,225.07,5.74,2.38,230.18,11.52,2.61,66.49,12,367.18,5.96,2.38,549.27,13.35,2.99,67.4,28,659.12,19.66,8.05,1029.38,12.43,2.69,71.86,56
2023-02-17,สกลนคร,17.276991,103.972103,นาชลประทาน,ระยะกล้า,กข22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,2023-02-17,17.276991,103.972103,"(17.5, 104.0)",106.56,0.27,0.1,130.37,13.46,1.66,60.6,7,225.07,5.74,2.38,230.18,11.52,2.61,66.49,12,367.18,5.96,2.38,549.27,13.35,2.99,67.4,28,659.12,19.66,8.05,1029.38,12.43,2.69,71.86,56
