survey_date,province,lat,lon,rice_ecosystem,rice_stage,rice_variety,rat_damage_%,GA_snail_ea,dead_heart_%,rice_gall_midge_%,white_head_%,rice_bug_%,rice_thrip_%,whorl_maggot_%,rice_hispa_%,leaf_folder,bph_pertiller,wbph_pertiller,zigzag_pertiller,green_leafhopper_pertiller,white_whitefily_pertiller,black_bug_pertiller,bacterial_blight_%,bacterial_leaf_streak_%,brown_spot_%,leaf_blast_%,red_stripe_%,narrow_brown_spot_%,bakanae_%,dirty_panicle_%,false_smut_%,neck_blast_%,sheath_blight_%,sheath_rot_%,hopper_burn_%,gressy_stun_virus_%,ragged_stun_virus_%,orange_leaf_%,weed_infestration_%,dominant_weed_type,dominant_weed_species
2023-02-24,สงขลา,7.8195319999999997,100.262642,นาชลประทาน,ตั้งท้อง,กข79,0,0,0,0,0,0,0,1.4710000000000001,0,0,0,0,0,0,0,0,0,0,4.4119999999999999,18.824000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-02-24,สงขลา,7.819623,100.262974,นาชลประทาน,ตั้งท้อง,กข79,0,0,0,0,0,0,0,0.72499999999999998,0,0,0,0,0,0,0,0,0,0,29.71,0,0,0,0,0,0,0,0,0,0,0,0,0,80,หญ้า,หญ้าดอกขาว
2023-12-18,นครราชสีมา,15.1592,102.3651,นาชลประทาน,ระยะกล้า,กข79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3330000000000002,0.439,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-01-20,นครพนม,17.001200000000001,104.58710000000001,นาชลประทาน,ระยะกล้า,แม่โจ้2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.037000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,15,กก,NA
2023-02-17,สกลนคร,17.620974,103.99764,นาชลประทาน,ระยะกล้า,หยดน้ำ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.976000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-01-20,สกลนคร,17.350000000000001,103.782,นาชลประทาน,ระยะกล้า,CP888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3330000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-02-03,หนองคาย,18.162800000000001,103.1591,นาชลประทาน,ระยะกล้า,กข22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9569999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-02-17,สกลนคร,17.276990999999999,103.97220299999999,นาชลประทาน,ระยะกล้า,อีลาง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-02-03,หนองคาย,18.1861,103.15649999999999,นาชลประทาน,ระยะกล้า,กข22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-02-17,สกลนคร,17.620211999999999,103.983836,นาชลประทาน,ระยะกล้า,กข22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6667000000000001,หญ้า,NA
2023-02-17,สกลนคร,17.276990999999999,103.972103,นาชลประทาน,ระยะกล้า,กข22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-02-12,สกลนคร,17.389945000000001,103.740666,นาชลประทาน,ระยะกล้า,กข22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.135999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
